id,date,word_hanji,word_tailo,word_description,sentence_hanji,sentence_zh,season,month_theme,theme,source
104,2026-09-12,稻埕,Tiū-tiânn,農家曬穀用的大空地。,稻埕頂曬滿稻仔，腳踏落去，嘎嘎滾。,曬穀場曬滿稻穀，腳踩下去，嘎嘎作響。,autumn,early_autumn,place,
105,2026-09-13,中秋,Tiong-tshiu,農曆八月十五的傳統節日。,中秋夜，家族攏聚佇一陣，月娘圓圓掛天頂。,中秋夜，家人都聚在一起，月亮圓圓掛在天上。,autumn,early_autumn,ritual,
106,2026-09-14,月餅,Gue̍h-piánn,中秋節吃的圓形糕點，有各種內餡。,月餅切四份，每人一份，甜甜的夠矣。,月餅切四份，每人一份，甜甜的就夠了。,autumn,early_autumn,food,
107,2026-09-15,收冬,Siu-tang,一年農耕的收成結束。,收冬了後，田裡的人少去矣，靜靜的。,收冬之後，田裡的人少了，靜悄悄的。,autumn,early_autumn,daily_life,
108,2026-09-16,柚仔,Iū-á,中秋的水果，皮厚肉甜清芳。,中秋的桌頂，柚仔剝開，清芳滿厝間。,中秋的桌上，柚子剝開，清香滿屋。,autumn,early_autumn,ritual,
109,2026-09-17,烘肉,Hang-bah,在炭火上烤肉，台灣中秋節習俗。,中秋烘肉，炭火的煙四界飄，厝邊攏出來矣。,中秋烤肉，炭火的煙四處飄，鄰居都出來了。,autumn,early_autumn,ritual,
110,2026-09-18,賞月,Sióng-gue̍h,欣賞月亮，尤指中秋夜看月。,搬椅仔出來賞月，月娘足圓，人嘛足靜。,搬椅子出來賞月，月亮很圓，人也很靜。,autumn,early_autumn,feeling,
111,2026-09-19,茶葉,Tê-hio̍h,製茶用的葉子，台灣秋茶季盛產。,秋天的茶葉，摘起來薄薄的，泡出來香。,秋天的茶葉，摘起來薄薄的，泡出來很香。,autumn,early_autumn,nature,
112,2026-09-20,倉,Tshng,囤積稻穀、貨物的倉庫。,倉裝滿矣，今年的氣力總算有交代。,穀倉裝滿了，今年的辛苦總算有了交代。,autumn,early_autumn,place,
113,2026-09-21,熱翕翕,Jua̍h-hip-hip,形容天氣真悶熱。,以為涼矣，熱翕翕閣來，汗嘛流返來。,以為涼了，秋老虎又來，汗也又流了。,autumn,early_autumn,weather,
114,2026-09-22,落山風,Lo̍h-suann-hong,秋冬從山上吹落的強風，恆春一帶特有。,落山風一來，路邊的樹攏斜去一爿。,落山風一來，路邊的樹都歪向一邊。,autumn,early_autumn,weather,
115,2026-09-23,菜脯,Tshài-póo,用白蘿蔔醃製的乾菜，台灣家常食材。,菜脯蛋煎起來，配稀飯，早起就是這款。,菜脯蛋煎起來，配稀飯，早上就是這樣。,autumn,early_autumn,food,
116,2026-09-24,夜景,Iā-kíng,暗時的景緻。,對山頂看落去，規片夜景閃閃爍爍。,從山上看下去，整片夜景閃閃爍爍。,autumn,early_autumn,feeling,
117,2026-09-25,深山林內,Tshim-suann-nâ-lāi,深山林內的所在。,秋天的深山林內，葉仔顏色開始換，一工一款。,秋天的山林，葉子顏色開始換，一天一個樣。,autumn,early_autumn,nature,
118,2026-09-26,蜘蛛網,Ti-tu-bāng,蜘蛛結的網。,透早的蜘蛛網掛著露水，一珠一珠，真媠。,清晨的蜘蛛網掛著露水，一顆一顆，很漂亮。,autumn,early_autumn,nature,
119,2026-09-27,粟仔,Tshik-á,小米，台灣原住民的重要農作物。,粟仔收起來，金黃一大把，放佇掌心真重。,小米收起來，金黃一大把，放在掌心很重。,autumn,early_autumn,food,
120,2026-09-28,稻草,Tiū-tsháu,稻子收割後剩下的草梗。,稻草綑做一束一束，倚佇田岸邊曬。,稻草綁成一束一束，靠在田埂邊曬乾。,autumn,early_autumn,nature,
121,2026-09-29,清氣,Tshing-khì,乾淨、清爽（台語特有說法）。,落雨了後，空氣清氣，深深呼一口。,下雨之後，空氣清新，深深吸一口。,autumn,early_autumn,feeling,
122,2026-09-30,烏陰,Oo-im,天色烏陰、欲落雨的款。,天烏陰規工，毋知雨欲落抑毋落。,天陰了一整天，不知雨要下不下。,autumn,early_autumn,feeling,
