id,date,word_hanji,word_tailo,word_description,sentence_hanji,sentence_zh,season,month_theme,theme,source
78,2026-08-17,秋凊,Tshiu-tshìn,秋天的清涼。,暗暝有一絲仔秋凊，風味無仝七月矣。,夜晚有一絲涼意，風的味道和七月不同了。,summer,late_summer,feeling,
79,2026-08-18,西瓜,Si-kue,西瓜。,西瓜挖一塊，坐佇埕仔食，汁流落手攏無閒管。,挖一塊西瓜，坐在院子裡吃，汁流到手上也顧不了。,summer,late_summer,food,
80,2026-08-19,魚仔市,Hî-á-tshī,賣魚的市仔。,魚仔市的聲音足大，一早就叫甲全條街攏知。,賣魚小販聲音很大，一大早就叫得全街都知道。,summer,late_summer,people,
81,2026-08-20,膨風,Phòng-hong,吹牛、誇大說大話。,伊愛膨風，聽著就好，毋免攏信。,他愛吹牛，聽聽就好，不必都信。,summer,late_summer,people,
82,2026-08-21,草蓆,Tsháu-tshioh,用草編成的蓆子，夏天鋪在地上乘涼。,草蓆鋪佇埕仔，囡仔躺落去，看天頂的星。,草蓆鋪在院子裡，孩子躺下去，看天上的星星。,summer,late_summer,object,
83,2026-08-22,香爐,Hiunn-lôo,廟裡或家中祭拜用的插香器皿。,廟裡的香爐滿滿是香灰，歲月就是按呢過去。,廟裡的香爐裝滿香灰，歲月就這樣過去了。,summer,late_summer,place,
84,2026-08-23,擔仔,Tànn-á,用扁擔挑起的籃子，也指小型攤位。,一個擔仔，兩籃仔，阿伯就佇菜市仔打拚矣。,一根扁擔，兩個籃子，阿伯就在菜市場打拚了。,summer,late_summer,daily_life,
85,2026-08-24,日鬚,Ji̍t-tshiu,日光透過雲縫射落來的光線。,樹跤的日鬚一直爍爍爍，風來就散，風去就閣現。,樹下的日花一直閃爍，風來就散，風去就又出現。,summer,late_summer,nature,
86,2026-08-25,田野,Tshân-iá,田地與原野，農村開闊的景色。,傍晚的田野，風來的時，稻仔全齊搖。,傍晚的田野，風來的時候，稻子全都搖動。,summer,late_summer,nature,
87,2026-08-26,蓬萊米,Phong-lâi-bí,台灣主要稻米品種，口感Q彈。,新蓬萊米炊起來，香到隔壁攏知。,新蓬萊米蒸起來，香到隔壁都知道。,summer,late_summer,food,
88,2026-08-27,行跤花,Kiânn-kha-hue,閒逛、散步、隨意走走。,暗頓食飽，換拖鞋出來行跤花，風有夠涼。,晚飯吃完，換上拖鞋出來散步，風很涼。,summer,late_summer,daily_life,
89,2026-08-28,作穡人,Tsoh-sit-lâng,做田、耕作的人。,作穡人，手腳攏是土，心肝攏是田。,做農的人，手腳都是泥土，心裡都是田地。,summer,late_summer,daily_life,
90,2026-08-29,豐收,Hong-siu,農作物收穫豐盛。,豐收的年，阿公笑甲目睭瞇瞇。,豐收的年份，阿公笑得眼睛瞇成一線。,summer,late_summer,feeling,
91,2026-08-30,涼風,Liâng-hong,涼爽的風。,八月尾的涼風，輕輕仔吹過，夏天就快過矣。,八月底的涼風，輕輕吹過，夏天快過了。,summer,late_summer,nature,
92,2026-08-31,秋天,Tshiu-thinn,秋天。,秋天猶未到，已經聞著秋的氣味矣。,秋天還沒到，已經聞到秋天的氣味了。,summer,late_summer,feeling,
